"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2021070612","N","Y","Y","Y","U","Y","1","Y","Y","00320","N","","","","","","","","N","","","","","1"
"2021098043","Y","N","U","Y","U","Y","2","N","N","01200","N","","","","","","","","N","","","","","2"
"2021092192","N","U","Y","Y","U","U","1","Y","Y","00400","N","","","","","","","","N","","","","","1"
"2021054261","U","N","U","U","N","N","0","N","N","99999","N","","","","","","","","N","","","","","1"
"2021081141","N","Y","U","N","N","N","0","N","N","00250","N","","","","","","","","N","","","","","2"
"2021092638","","","","","","","","","","","","","","","","","","","","U","Y","N","Y","1"
"2021061783","N","Y","Y","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","","","","","1"
"2021074010","N","N","U","Y","Y","U","1","Y","Y","00750","N","","","","","","","","N","","","","","1"
"2021055743","N","N","U","N","N","N","0","Y","U","00600","N","","","","","","","","N","","","","","2"
"2021067389","Y","N","U","N","N","N","0","N","N","00050","N","","","","","","","","N","","","","","1"
"2021051089","N","Y","N","Y","Y","Y","1","Y","Y","00125","N","","","","","","","","N","","","","","1"
"2021073531","N","U","U","N","N","N","0","Y","N","00600","N","","","","","","","","N","","","","","1"
"2021031915","N","U","U","Y","Y","Y","2","Y","N","01200","N","","","","","","","","N","","","","","1"
"2021075258","N","U","U","N","N","N","0","Y","N","99999","N","","","","","","","","N","","","","","1"
"2021084743","Y","U","Y","Y","N","Y","0","Y","Y","01584","N","","","","","","","","N","","","","","1"
"2021102167","Y","N","Y","N","N","N","0","Y","Y","00500","N","","","","","","","","N","","","","","1"
"2021049336","U","U","U","Y","U","U","1","Y","U","14490","N","","","","","","","","N","","","","","2"
"2021079757","N","N","N","Y","N","N","0","Y","N","00599","N","","","","","","","","N","","","","","1"
"2021104674","Y","Y","U","Y","Y","Y","1","Y","Y","10000","N","","","","","","","","N","","","","","3"
"2021122604","","","","","","","","","","","","","","","","","","","","N","N","N","U","2"
"2021086661","N","U","N","N","N","N","0","Y","N","00150","N","","","","","","","","N","","","","","1"
"2021069265","Y","Y","N","Y","N","N","0","Y","N","00107","N","","","","","","","","N","","","","","3"
"2021092394","N","Y","Y","Y","Y","Y","1","Y","Y","01690","Y","U","Y","Y","Y","1","Y","Y","N","","","","","2"
"2021092478","N","N","N","Y","Y","N","1","Y","Y","00599","N","","","","","","","","N","","","","","2"
"2021026452","N","N","U","Y","U","U","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2021042376","U","U","N","Y","Y","Y","1","Y","U","00600","N","","","","","","","","N","","","","","1"
"2021045559","N","Y","Y","Y","U","Y","1","Y","N","00600","N","","","","","","","","N","","","","","1"
"2021032411","Y","N","Y","N","N","N","0","Y","N","00300","N","","","","","","","","N","","","","","1"
"2021046037","Y","N","U","Y","","","0","Y","N","01450","N","","","","","","","","N","","","","","1"
"2021046129","N","N","N","Y","","","0","Y","Y","01199","N","","","","","","","","N","","","","","2"
"2021046592","Y","Y","U","Y","N","N","0","Y","N","01690","N","","","","","","","","N","","","","","1"
"2021086514","Y","N","N","Y","Y","Y","3","Y","N","00125","N","","","","","","","","N","","","","","1"
"2021104674","Y","Y","U","Y","U","Y","3","Y","Y","10000","N","","","","","","","","N","","","","","2"
"2021068869","N","Y","U","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","1"
"2021123852","N","U","U","U","U","Y","1","Y","U","99999","N","","","","","","","","N","","","","","2"
"2021096363","U","U","U","Y","U","U","9","U","U","00250","N","","","","","","","","N","","","","","2"
"2021124272","Y","Y","U","N","N","N","0","Y","Y","00125","N","","","","","","","","N","","","","","1"
"2021031623","Y","Y","N","N","N","N","3","Y","Y","01449","N","","","","","","","","N","","","","","1"
"2021029890","U","U","N","Y","Y","Y","2","Y","N","00652","N","","","","","","","","N","","","","","1"
"2021036049","Y","Y","Y","Y","Y","Y","2","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2021039292","N","N","U","Y","N","N","0","Y","N","00883","N","","","","","","","","N","","","","","2"
"2021082883","N","Y","Y","N","U","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2021055304","U","U","Y","Y","Y","Y","3","Y","Y","01800","N","","","","","","","","N","","","","","2"
"2021052374","N","N","N","U","U","U","1","N","N","99999","N","","","","","","","","N","","","","","1"
"2021112681","N","N","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2021088551","N","Y","Y","Y","Y","Y","1","N","N","00650","N","","","","","","","","N","","","","","1"
"2021108272","N","Y","Y","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","2"
"2021104994","N","U","N","N","N","N","0","U","U","00250","N","","","","","","","","N","","","","","1"
"2021104967","Y","Y","Y","Y","","","0","Y","N","01450","N","","","","","","","","N","","","","","1"
"2021092424","Y","U","U","U","U","U","0","Y","U","01745","N","","","","","","","","N","","","","","1"
"2021092998","Y","Y","U","U","Y","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2021029203","Y","Y","U","U","U","U","9","Y","U","00000","N","","","","","","","","N","","","","","1"
"2021045306","Y","N","U","Y","U","Y","1","Y","N","00100","N","","","","","","","","N","","","","","1"
"2021063965","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2021092700","Y","U","U","U","U","N","0","Y","Y","01923","N","","","","","","","","N","","","","","2"
"2021086513","Y","Y","Y","Y","N","N","0","Y","N","01449","N","","","","","","","","N","","","","","2"
"2021080801","Y","N","Y","N","N","N","0","N","N","00150","N","","","","","","","","N","","","","","1"
"2021080856","Y","Y","Y","Y","Y","Y","2","Y","N","01868","N","","","","","","","","N","","","","","1"
"2021055404","Y","U","U","U","U","Y","3","U","N","01294","N","","","","","","","","N","","","","","1"
"2021051965","N","N","Y","Y","N","N","0","Y","N","01500","N","","","","","","","","N","","","","","1"
"2021085753","Y","Y","U","Y","Y","Y","1","Y","N","01690","N","","","","","","","","N","","","","","1"
"2021047807","Y","Y","Y","Y","Y","Y","3","Y","N","01300","N","","","","","","","","N","","","","","1"
"2021113632","","","","","","","","","","","","","","","","","","","","Y","N","N","Y","2"
"2021071216","N","N","U","U","U","U","1","N","N","00600","N","","","","","","","","N","","","","","1"
"2021087575","N","N","N","N","N","N","0","U","U","00600","N","","","","","","","","N","","","","","1"
"2021121504","U","Y","U","Y","Y","Y","1","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2021116042","Y","Y","U","Y","U","Y","1","Y","Y","00150","N","","","","","","","","N","","","","","1"
